Timestamp,What policy areas are you most interested in? (feel free to select multiple!)
8/26/2024 15:58:42,"Education, Environment, Employment/Labor, Elections/Politics"
8/26/2024 16:00:29,"Environment, International Development, Health"
8/26/2024 16:05:23,"Employment/Labor, Elections/Politics"
8/26/2024 16:48:55,"Employment/Labor, International Development, Elections/Politics"
8/27/2024 8:48:41,Health
8/27/2024 9:01:40,"Education, International Development"
8/27/2024 12:14:43,"Employment/Labor, Elections/Politics"
8/27/2024 12:23:32,"Education, Health, Elections/Politics"
8/27/2024 17:59:52,"Education, Employment/Labor"
8/27/2024 19:09:38,Health
8/27/2024 21:51:57,"Education, Employment/Labor"
8/27/2024 23:06:59,"Employment/Labor, Health"
8/27/2024 23:40:47,"Education, Employment/Labor, Health, Tax "
8/28/2024 8:39:38,"Elections/Politics, Tech Policy, European Policy"
8/28/2024 9:30:46,"Education, Employment/Labor, Elections/Politics, Tech"
8/28/2024 10:02:19,"Education, Environment"
